animal_id,lrid,tag,rfid,nlis,is_new,draft,sex,dob,sire,dam,breed,colour,weaned,prev_tag,prev_pic,note,note_date,is_exported,is_history,is_deleted,tag_sorter,donordam,whp,esi,status_current,status_date,overall_adg,current_adg,last_weight,last_weight_date,selected,animal_group,current_farm,current_property,current_area,current_farm_date,current_property_date,current_area_date,animal_group_date,sex_date,breed_date,dob_date,colour_date,prev_pic_date,sire_date,dam_date,donordam_date,prev_tag_date,tag_date,rfid_date,nlis_date,modified,full_rfid,full_rfid_date
1893,0,10023,964001009986617,36US012011010002,0,"",Female,2011-02-12 00:00:00.000,"",WAST02,"","",0,10002,"","2017 AI",2017-08-28 11:14:10.121,0,0,0,"                           10023","",,,Sold,2019-02-08 10:41:03.010,0.00,0.29,138,2018-11-05 14:33:40.956,0,"","","","",,,,,,2024-01-13 07:31:33.659,,2024-01-13 07:31:33.659,2018-07-25 08:24:42.293,,2024-01-13 07:31:33.644,,2017-08-28 11:23:12.507,2017-02-17 11:10:19.536,,,2024-01-13 07:31:33.753,"",
1894,0,10011,964001009986676,36US012010010011,0,"",Female,2010-12-01 00:00:00.000,"","",ARG,Orange,0,10004,"","died 1/19/20 jaw tumor",2020-01-21 15:38:38.526,0,0,0,"                           10011","",,,Dead,2020-01-21 15:39:17.109,-0.02,-0.05,130,2019-05-22 11:22:29.719,0,"2nd BRD GRP","","","",,,,2019-12-08 20:44:50.423,2015-09-16 15:19:50.250,2018-08-12 08:49:54.248,,2015-11-18 15:39:36.469,,,,,2018-03-12 14:35:01.985,,,,2021-10-10 15:12:29.324,"",
1897,0,11029,964001009986727,36US012012011029,0,"",Female,2012-02-29 00:00:00.000,"",9007,ARG,Orange,0,11028,"",Cull,2021-08-27 18:00:47.268,0,0,0,"                           11029","",,,Dead,2023-12-06 13:36:51.893,-0.02,-0.01,100.0,2021-11-19 10:34:47.762,0,"14th BRD GRP","","","",,,,2021-02-26 10:06:58.124,2015-09-23 10:54:57.837,2018-08-12 08:49:54.517,,2017-02-20 14:46:03.722,,,,,2019-03-18 14:25:41.675,,,,2023-12-06 13:36:51.893,"",
1898,0,11019,964001009986719,36US012010011019,0,"",Female,2011-05-06 00:00:00.000,"","","",Black,0,"","","needs new herd tag",2017-10-02 12:01:48.000,0,0,0,"                           11019","",,,Dead,2018-08-12 13:23:54.771,-0.06,-0.09,153,2017-07-12 12:19:28.425,0,"","","","",,,,,2015-08-24 13:55:39.669,,2016-01-06 22:03:40.166,2015-11-18 15:30:28.433,,,,,,,,,2018-08-12 13:23:54.784,"",
1899,0,11008,964001009986668,36US012008011008,0,"",Female,2008-04-10 00:00:00.000,"","","","",0,"","","New Tag: 11008",2015-03-03 09:59:25.000,0,0,0,"                           11008","",,,Sold,2016-05-23 11:31:45.969,0.01,-0.26,158.0,2016-05-05 11:54:52.833,0,"","","","",,,,,,,,,,,,,,,,,2016-05-23 11:31:45.969,"",
1900,0,11041,964001009986742,36US012011011041,0,"",Female,2011-03-14 00:00:00.000,"","",ARG,"Orange 16",0,11048,"",cull,2019-04-29 08:51:38.000,0,0,0,"                           11041","",,,Sold,2019-12-06 21:00:24.983,-0.02,-0.12,141.0,2019-11-10 10:44:18.453,0,"5th BRD GRP","","","",,,,2019-03-02 19:19:45.414,2015-12-01 01:07:15.000,2018-08-12 08:49:54.859,,2016-09-16 11:34:49.824,,,,,2018-03-09 22:02:54.999,,,,2021-10-10 15:15:15.096,"",
1901,0,10005,964001009986628,36US012011010005,0,"",Female,2011-01-02 00:00:00.000,"",WAST02,"","",0,"","","Cull open x2 yrs",2015-12-05 10:50:53.184,0,0,0,"                           10005","",,,Dead,2016-01-04 14:54:33.223,0.01,0.08,139,2015-09-02 13:44:56.179,0,"","","","",,,,,2015-12-05 10:47:51.613,,,,,,2024-01-13 07:35:11.770,,,,,,2024-01-13 07:35:11.801,"",
1902,0,12091,964001009986728,36US012012012091,0,"",Female,2012-02-15 00:00:00.000,"",10005,Cull,Black,0,"","",Cull,2016-08-29 09:23:34.226,0,0,0,"                           12091","",,,Sold,2019-02-08 10:40:55.719,-0.07,0.03,101.0,2016-07-07 09:07:46.374,0,"","","","",,,,,2015-12-01 02:09:53.000,2018-08-03 21:07:45.186,,2015-11-18 15:30:49.678,,,,,,,,,2019-02-08 10:40:55.733,"",
1905,0,12079,964001009986657,36US012012012079,0,"",Female,2012-02-20 00:00:00.000,"",BRCM02,"","",0,"","","cull bsby with bad eye",2017-03-26 15:35:01.366,0,0,0,"                           12079","",,,Sold,2018-01-22 09:58:42.230,0.00,0.00,123,2018-01-21 10:46:50.457,0,"","","","",,,,,2015-06-05 03:02:16.000,,,2024-01-12 12:03:13.194,,,2024-01-12 12:03:13.053,,,,,,2024-01-12 12:03:13.689,"",
1906,0,11012,964001009986644,36US012010011012,0,"",Female,2010-02-02 00:00:00.000,"",WAST02,"","",0,"","","BLACK CHAIN AI",2015-09-04 14:14:38.270,0,0,0,"                           11012","",,,Sold,2019-02-08 10:41:01.340,-0.03,0.06,130,2018-11-05 14:13:50.186,0,"","","","",,,,,2015-11-18 10:27:19.358,2024-01-13 07:43:25.729,,2024-01-13 07:43:25.745,,,2024-01-13 07:43:25.729,,,,,,2024-01-13 07:43:25.807,"",
1907,0,12111,964001009986675,36US012012012111,0,"",Female,2012-01-29 00:00:00.000,"",ORST03,"","",0,"","",Cull,2016-08-29 09:17:45.069,0,0,0,"                           12111","",,,Sold,2017-04-03 14:15:32.121,0.01,-0.07,146,2017-03-06 16:30:18.791,0,"","","","",,,,,,,,2024-01-12 11:50:07.822,,,2024-01-12 11:50:07.681,,,,,,2024-01-12 11:50:08.165,"",
1908,0,12038,964001009986883,36US012012012038,0,"",Female,2012-01-31 00:00:00.000,"",WAST02,"",Black,0,"","","BLACK CHAIN AI",2015-09-04 14:14:57.270,0,0,0,"                           12038","",,,Dead,2018-04-09 12:34:38.092,0.04,0.22,182,2018-01-23 15:18:14.336,0,"","","","",,,,,2015-09-16 10:44:15.001,,,2015-11-18 15:33:17.460,,,2024-01-12 07:22:24.948,,,,,,2024-01-12 07:22:25.500,"",
1909,0,9021,964001017737988,36US012010009021,0,"",Female,2010-02-23 00:00:00.000,"","",ARG,Orange,0,9003,"",cull,2019-08-05 18:47:43.000,0,0,0,"                            9021","",,,Sold,2019-12-06 21:00:23.862,-0.03,0.38,121.0,2019-11-10 11:33:17.207,0,"AI 2018","","","",,,,2019-03-02 20:35:00.813,2015-09-23 10:34:09.559,2018-09-01 11:21:04.294,,2015-11-18 15:41:56.208,,,,,2018-03-10 11:57:14.800,,2019-02-06 12:04:54.983,,2019-12-06 21:00:23.862,"",
1910,0,12044,964001009986762,36US012012012044,0,"",Female,2012-01-22 00:00:00.000,"",BRCM02,ARG,"",0,13063,"","Two big teats",2021-03-09 20:01:18.278,0,0,0,"                           12044","",,,Dead,2021-11-14 11:45:09.548,-0.02,0.03,129,2020-12-04 09:38:36.564,0,"","","","",,,,2024-01-12 08:11:50.217,2015-09-16 15:14:47.339,2018-08-12 08:49:55.567,,2024-01-12 08:11:50.118,,,2024-01-12 08:53:55.899,,2018-03-12 17:43:00.294,,,,2024-01-12 08:53:56.825,"",
1912,0,12028,964001009986669,36US012011012028,0,"",Female,2011-06-30 00:00:00.000,"","","",Orange,0,"","",Cull,2017-03-21 12:29:47.586,0,0,0,"                           12028","",,,Sold,2018-01-22 09:58:41.987,-0.01,0.11,132,2018-01-21 11:01:45.614,0,"","","","",,,,,2015-06-05 09:56:35.000,,,2015-11-18 15:34:20.928,,,,,,,,,2018-01-22 09:58:42.006,"",
1915,0,9009,964001009986637,36US012005009009,0,"",Female,2005-12-24 00:00:00.000,"",ORST02,"","",0,"","",Cull,2016-08-29 14:11:15.007,0,0,0,"                            9009","",,,Sold,2017-04-03 14:15:30.334,-0.01,-0.71,129,2017-03-06 16:30:43.669,0,"","","","",,,,,2016-01-06 12:09:35.000,,,,,,2024-01-13 07:37:51.292,,,,,,2024-01-13 07:37:51.370,"",
1917,0,11017,964001009986887,36US012007011017,0,"",Female,2007-06-29 00:00:00.000,"","","",Black,0,"","","",,0,0,0,"                           11017","",,,Sold,2016-05-23 11:31:46.109,-0.17,-0.20,135.0,2016-05-05 11:48:24.855,0,"","","","",,,,,2015-09-23 10:44:42.865,,,2015-11-18 15:40:51.364,,2015-09-23 10:45:34.198,,,,,,,2017-10-02 12:01:58.805,"",
1919,0,9006,964001009986696,36US012008009006,0,"",Female,2008-03-16 00:00:00.000,"",ORST02,"","",0,"","",Cull,2016-08-29 09:22:23.709,0,0,0,"                            9006","",,,Sold,2017-04-03 14:15:30.152,-0.08,-0.29,135,2017-03-06 16:30:32.950,0,"","","","",,,,,2016-01-06 11:58:29.000,,,,,,2024-01-12 10:42:09.128,,,,,,2024-01-12 10:42:09.560,"",
1922,0,9005DIED,964001009986745,36US012009009005,0,"",Female,2009-02-08 00:00:00.000,"",9005,"","",0,"","","euthanized - old no teeth weak",2018-04-10 11:14:38.000,0,0,0,"                            9005DIED","",,,Dead,2018-04-15 11:25:12.691,-0.04,0.03,132,2018-01-25 19:40:15.000,0,"","","","",,,,,2015-11-13 12:55:49.751,,,,,,2024-01-12 10:40:14.174,,,2020-04-22 19:29:56.756,,,2024-01-12 10:40:14.708,"",
1923,0,9013,964001009986709,36US012010009013,0,"",Female,2010-02-02 00:00:00.000,"","","",Black,0,9001,"","New Tag: 9001",2018-02-25 14:30:09.965,0,0,0,"                            9013","",,,Dead,2018-06-08 13:46:04.347,-0.02,0.01,158.0,2018-01-23 11:59:31.227,0,"","","","",,,,,2016-01-05 19:49:14.662,,,2015-11-18 15:30:21.915,,,,,2017-09-27 11:36:36.175,2018-04-03 17:02:21.605,,,2018-12-12 12:33:14.647,"",
1924,0,9016,964001009986729,36US012010009016,0,"",Female,2010-05-28 00:00:00.000,"","","","",0,"","",Cull,2016-08-29 14:28:44.010,0,0,0,"                            9016","",,,Sold,2018-04-07 14:01:42.572,-0.18,-0.08,109,2015-09-02 11:31:09.287,0,"","","","",,,,,2015-11-18 09:30:05.173,,,,,,,,,,,,2018-04-07 14:01:42.573,"",
1925,0,11035,964001009986710,36US012009011035,0,"",Female,2009-12-06 00:00:00.000,"","","","",0,"","","died - old age",2016-07-29 11:01:55.000,0,0,0,"                           11035","",,,Dead,2016-07-29 11:28:46.269,-0.16,-0.05,126.0,2016-07-07 10:46:45.493,0,"","","","",,,,,2016-01-06 12:23:18.194,,,,,,,,,,,,2017-10-02 12:00:04.115,"",
1926,0,11046,964001009986722,36US012010011046,0,"",Female,2010-12-09 00:00:00.000,"","",Cull,"",0,"","","No teeth",2018-08-31 11:12:33.825,0,0,0,"                           11046","",,,Sold,2019-02-08 10:41:03.912,-0.02,0.05,135.0,2018-11-05 14:22:59.388,0,"","","","",,,,,2015-11-13 11:56:44.810,2018-08-31 11:12:44.841,,,,,,,,,,,2019-02-08 10:41:03.913,"",
1929,0,11050,964001009986646,36US012011011050,0,"",Female,2011-02-16 00:00:00.000,"",WAST03,ARG,"",0,"","","Cull/no teeth",2019-08-23 10:48:33.446,0,0,0,"                           11050","",,,Sold,2019-12-06 21:00:24.615,-0.01,-0.13,124,2019-11-10 11:18:38.889,0,"","","","",,,,2024-01-13 07:44:22.709,2015-12-01 02:05:13.000,2018-08-12 08:49:54.901,,2024-01-13 07:44:22.694,,,2024-01-13 07:44:22.678,,,,,,2024-01-13 07:44:22.803,"",
1930,0,12080,964001009986702,36US012011012080,0,"",Female,2011-03-14 00:00:00.000,"",ORST02,"","",0,"","","New Tag: 12080",2015-03-03 09:39:06.000,0,0,0,"                           12080","",,,Sold,2016-05-23 11:31:46.405,-0.05,-0.19,112,2016-05-05 12:00:42.265,0,"","","","",,,,,,,,,,,2024-01-12 12:02:37.121,,,,,,2024-01-12 12:02:37.472,"",
1931,0,12034,964001009986795,36US012012012034,0,"",Female,2012-01-21 00:00:00.000,"",WASTO2,"","",0,"","","euthanized 2/18",2016-08-19 11:28:06.000,0,0,0,"                           12034","",,,Dead,2018-02-07 10:33:06.891,-0.04,-0.14,100,2018-01-03 12:33:41.641,0,"","","","",,,,,1-01-01 12:00:00.000,,,2024-01-13 07:55:56.171,,,2024-01-13 07:55:56.140,,,,,,2024-01-13 07:55:56.218,"",
1933,0,12047,964001009986667,36US012011012047,0,"",Female,2011-12-20 00:00:00.000,"",9023,ARG,"Orange 16",0,11030,"","0pen 2019",2019-02-04 14:18:55.403,0,0,0,"                           12047","",,,Sold,2019-10-11 14:55:13.239,-0.01,-0.50,137.0,2019-07-24 04:56:56.023,0,"7th BRD GRP","","","",,,,2019-03-02 19:22:23.050,,2018-08-12 08:52:36.742,,2016-09-16 10:02:24.530,,,,,2019-02-06 12:21:35.373,,,,2021-10-10 15:15:49.768,"",
1934,0,12116,964001009986643,36US012011012116,0,"",Female,2011-12-26 00:00:00.000,"",9009,"",Black,0,"","",Cull,2016-08-29 14:13:58.503,0,0,0,"                           12116","",,,Sold,2017-04-03 14:15:32.333,0.02,0.29,178.0,2017-03-06 16:00:46.583,0,"","","","",,,,,2015-06-05 10:16:35.000,,,2015-11-18 15:28:30.740,,,,,,,,,2017-04-03 14:15:32.333,"",
1939,0,12101,964001009986743,36US012012012101,0,"",Female,2012-01-26 00:00:00.000,"",9025,"",Black,0,"","",Cull,2016-08-29 10:03:38.429,0,0,0,"                           12101","",,,Sold,2017-04-03 14:15:31.979,-0.02,0.21,135.0,2017-03-06 16:08:04.837,0,"","","","",,,,,2015-09-16 09:12:45.705,,,2015-11-18 15:37:36.784,,,,,,,,,2017-04-03 14:15:31.979,"",
1940,0,12019,964001009986671,36US012012012019,0,"",Female,2012-01-26 00:00:00.000,"",11017,"",Orange,0,"","",Cull,2016-08-29 09:24:18.378,0,0,0,"                           12019","",,,Sold,2017-04-03 14:15:31.173,0.03,0.29,162.0,2017-03-06 16:26:45.693,0,"","","","",,,,,2015-12-01 02:01:00.000,,,2015-11-18 15:19:30.704,,,,,,,,,2017-04-03 14:15:31.173,"",
1941,0,12032,964001009986650,36US012012012032,0,"",Female,2012-01-26 00:00:00.000,"",11017,ARG,Black,0,"","","Cull/no teeth",2019-08-23 13:38:40.456,0,0,0,"                           12032","",,,Dead,2022-01-22 15:57:18.902,-0.02,-0.08,116.0,2019-05-24 12:00:51.522,0,"12th BRD GRP","","","",,,,2019-03-02 19:34:36.338,2015-09-16 10:04:32.689,2018-08-12 08:49:55.252,,2015-11-18 15:37:58.016,,,,,,,,,2022-01-22 15:57:18.903,"",
1942,0,12041,964001009986752,36US012012012041,0,"",Female,2012-01-26 00:00:00.000,"",11017,Cull,"",0,"","",open/cull,2016-05-05 11:48:38.000,0,0,0,"                           12041","",,,Sold,2019-02-08 10:40:56.072,-0.01,0.00,125,2018-08-07 09:15:46.369,0,"","","","",,,,,2015-12-01 02:10:54.000,2018-08-03 21:07:45.407,,,,,,,,,,,2019-02-08 10:40:56.072,"",
1943,0,9028,964001009986649,36US012012012020,0,"",Female,2012-02-01 00:00:00.000,"",BRCM02,"","",0,"","","open 2017/18",2018-08-06 10:00:04.000,0,0,0,"                            9028","",,,Sold,2019-02-08 10:41:04.579,0.01,0.63,172,2018-11-05 14:16:26.914,0,"","","","",,,,,,2024-01-13 07:46:35.118,,2024-01-13 07:46:35.133,,,2024-01-13 07:46:35.118,,,2017-03-21 11:37:08.611,,,2024-01-13 07:46:35.164,"",
1944,0,12033,964001009986739,36US012012012033,0,"",Female,2012-02-07 00:00:00.000,"","",ARG,"Orange 16",0,"","",Cull,2019-08-23 10:27:10.335,0,0,0,"                           12033","",,,Sold,2019-12-06 21:00:27.306,0.01,-0.25,140.0,2019-11-10 11:13:52.872,0,"16th BRD GRP","","","",,,,2019-03-02 19:39:44.503,,2018-08-12 08:49:55.294,,2016-09-16 10:09:06.276,,,,,,,,,2021-10-10 15:18:38.490,"",
1945,0,12092,964001009986661,36US012012012092,0,"",Female,2012-05-30 00:00:00.000,"",WAST02,"",Orange,0,"","",Cull,2016-08-29 09:45:57.812,0,0,0,"                           12092","",,,Sold,2017-04-03 14:15:31.790,0.02,0.64,137,2017-03-06 16:22:32.394,0,"","","","",,,,,,,2015-08-20 04:49:18.209,2015-11-18 15:32:04.278,,,2024-01-12 11:57:53.529,,,,,,2024-01-12 11:57:53.964,"",
1946,0,9023,964001009986673,36US012009009023,0,"",Female,2009-01-27 00:00:00.000,"","","","",0,"","","New Tag: 9023",2015-03-03 10:05:22.000,0,0,0,"                            9023","",,,Sold,2024-01-12 07:13:29.825,-0.09,-0.09,125.0,2015-05-14 12:02:06.000,0,"","","","",,,,,,,,,,,,,,,,,2024-01-12 07:13:29.848,"",
1948,0,13048,964001009986711,36US012012012002,0,"",Female,2012-01-09 00:00:00.000,"",12002,ARG,"",0,"","",Cull,2019-08-23 13:39:38.672,0,0,0,"                           13048","",,,Sold,2019-12-06 21:00:26.433,-0.01,0.06,122,2019-11-10 10:06:31.556,0,"","","","",,,,2024-01-12 11:36:15.464,2015-09-23 12:23:38.558,2018-08-12 08:49:57.863,,,,,2024-01-12 11:36:15.338,,,2017-02-17 13:04:12.579,,,2024-01-12 11:36:16.045,"",
1950,0,12022,964001009986725,36US012012012022,0,"",Female,2012-01-14 00:00:00.000,"","",ARG,"Orange 16",0,"","","gigantic wart on throat",2019-11-10 10:37:33.770,0,0,0,"                           12022","",,,Sold,2020-02-16 21:29:25.908,0.01,0.05,136.0,2020-02-14 11:16:32.137,0,"17th BRD GRP","","","",,,,2019-03-02 19:42:34.438,2019-03-23 12:08:22.000,2018-08-12 08:49:55.125,2019-03-23 12:08:22.000,2016-09-16 11:30:04.391,,,,,,,,,2022-08-19 08:11:09.363,"",
1951,0,9024,964001009986666,36US012008009024,0,"",Female,2008-01-10 00:00:00.000,"","","","",0,"","","Cull maybe",2016-08-29 09:28:42.077,0,0,0,"                            9024","",,,Sold,2017-04-03 14:15:30.461,-0.03,0.29,165.0,2017-03-06 16:13:36.948,0,"","","","",,,,,,,,,,,,,,,,,2017-04-03 14:15:30.462,"",
1955,0,12073,964001009986625,36US012011012073,0,"",Female,2011-12-09 00:00:00.000,"",WAST02,ARG,"",0,"","",Cull,2021-08-26 10:04:16.199,0,0,0,"                           12073","",,,Dead,2023-12-06 13:40:30.842,-0.01,-0.01,117,2021-08-26 10:04:08.084,0,"","","","",,,,2024-01-13 07:34:13.725,1-01-01 12:00:00.000,2018-08-12 08:49:56.072,,,,,2024-01-13 07:34:01.178,,,,,,2024-01-13 07:34:13.834,"",
1956,0,12039,964001009986700,36US012012012039,0,"",Female,2012-02-01 00:00:00.000,"",WAST03,ARG,"",0,16277,"",Cull,2021-08-26 09:22:44.326,0,0,0,"                           12039","",,,Dead,2023-12-06 13:36:55.446,-0.04,-0.17,68.5,2021-08-26 09:22:35.757,0,.,"","","",,,,2024-01-12 07:45:54.914,2015-09-16 09:19:28.897,2018-08-12 08:49:55.389,,2024-01-12 07:45:54.738,,,2024-01-12 07:26:40.386,,2021-03-25 16:19:32.200,2021-03-25 13:58:06.415,,,2024-01-12 07:45:55.700,"",
1957,0,12010,964001009986618,36US012012012010,0,"",Female,2012-03-26 00:00:00.000,"",WAST03,"","",0,11049,"","History of small kids",2018-08-12 12:10:55.867,0,0,0,"                           12010","",,,Sold,2019-02-08 10:40:56.733,-0.01,0.40,138,2018-09-01 13:15:15.885,0,"","","","",,,,,2015-11-13 12:12:23.675,2024-01-13 07:32:18.355,,,,,2024-01-13 07:32:18.355,,2018-04-03 09:59:33.263,,,,2024-01-13 07:32:18.402,"",
1958,0,11023,964001009986681,36US012011011023,0,"",Female,2011-12-23 00:00:00.000,"","",ARG,"Orange 16",0,"","","2017 AI",2017-08-28 10:09:37.124,0,0,0,"                           11023","",,,Sold,2020-02-16 21:29:25.846,-0.01,0.01,154.0,2020-02-14 11:23:42.389,0,"4th BRD GRP","","","",,,,2019-12-08 20:51:48.941,2015-09-16 15:11:07.357,2018-08-12 08:49:54.432,,2016-09-16 11:33:19.157,,,,,,,,,2021-12-11 07:11:06.047,"",
1959,0,10001,964001009986730,36US012011010001,0,"",Female,2011-06-25 00:00:00.000,"","","","Orange 16",0,"","","2017 AI",2017-08-28 10:05:06.309,0,0,0,"                           10001","",,,Dead,2017-10-24 08:23:07.691,-0.02,-0.02,148.0,2017-09-06 12:26:21.426,0,"","","","",,,,,2015-09-23 10:36:24.912,,,2016-09-16 11:35:42.216,,,,,,,,,2021-08-27 15:20:26.599,"",
1961,0,12045,964001009986945,36US012012012045,0,"",Female,2012-01-06 00:00:00.000,"",WAST02,"",Orange,0,12110,"","HISTORY OF SMALL KIDS",2018-08-12 11:56:33.000,0,0,0,"                           12045","",,,Sold,2019-01-19 16:32:20.755,0.00,0.06,150,2018-11-05 14:15:18.564,0,"","","","",,,,,2015-08-24 15:15:31.887,2024-01-12 09:01:46.833,,2015-11-18 15:38:18.835,,,2024-01-12 09:01:46.702,,2018-03-08 17:32:36.013,,,,2024-01-12 09:01:47.263,"",
1963,0,12006,964001009986695,36US012012012006,0,"",Female,2012-01-06 00:00:00.000,"","",Cull,"",0,"","","History of  small kids",2018-08-12 12:07:51.932,0,0,0,"                           12006","",,,Sold,2019-02-08 10:31:13.472,0.00,0.29,150.0,2018-11-05 14:40:08.543,0,"","","","",,,,,1-01-01 12:00:00.000,2018-08-03 21:07:45.544,,,,,,,,,,,2019-03-23 14:46:17.345,"",
1964,0,12025,964001009986724,36US012011012025,0,"",Female,2011-09-14 00:00:00.000,"","",ARG,Orange,0,12113,"","Chlyamidal infection",2020-01-27 11:18:00.574,0,0,0,"                           12025","",,,Sold,2020-02-16 21:29:25.940,-0.02,0.00,134.0,2020-02-14 11:28:58.036,0,"14th BRD GRP","","","",,,,2019-12-08 21:23:34.940,2015-09-23 10:35:10.298,2018-08-12 08:49:55.169,,2015-11-18 15:36:13.886,,,,,2018-03-09 10:58:38.377,,,,2021-10-10 15:19:20.047,"",
1967,0,12016,964001009986670,36US012011012016,0,"",Female,2011-12-10 00:00:00.000,"","",ARG,Orange,0,"","",cull,2019-07-24 04:49:47.000,0,0,0,"                           12016","",,,Sold,2019-10-11 14:52:07.732,0.00,1.25,125,2019-07-24 04:49:50.683,0,"16th BRD GRP","","","",,,,2019-03-02 19:39:44.381,2015-11-13 13:10:43.032,2018-08-12 08:49:55.034,,2015-11-18 15:43:08.556,,,,,,,,,2021-10-10 15:18:38.490,"",
